Year,Industry_code_NZSIOC,Industry_name_NZSIOC,Units
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars (millions)
2023,99999,All industries,Dollars
2023,99999,All industries,Dollars
2023,99999,All industries,Percentage
2023,99999,All industries,Percentage
2023,99999,All industries,Percentage
2023,99999,All industries,Percentage
2023,99999,All industries,Percentage
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA,"Agriculture, Forestry and Fishing"
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars (millions)
2023,AA11,Horticulture and Fruit Growing,Dollars
2023,AA11,Horticulture and Fruit Growing,Dollars
2023,AA11,Horticulture and Fruit Growing,Percentage
